train_loss,val_loss,train_dice,val_dice,train_jaccard,val_jaccard
0.08217709351692537,0.017337314444832302,0.9894049958160115,0.9937117205298216,0.9801868433783275,0.9876633061611759
0.015913970451470028,0.014515819053222596,0.994093448492091,0.9945397190050247,0.9883979038928994,0.9892605139340556
0.013704154868297505,0.014835661413826232,0.9948273721917383,0.9943913793320006,0.989821881885025,0.9889663404703063
0.012337558121636961,0.013116502272779839,0.9953211170068,0.9951114883473559,0.9907758774179153,0.9903821274543622
0.011179841379584417,0.01212991361737119,0.9957314365198775,0.9952846945672525,0.9915710819705721,0.9906900409777487
0.010188384027594645,0.009534416229160302,0.9961037417343371,0.9963664015602676,0.992292210549883,0.9928040984293288
0.009159423467090682,0.009364279279094488,0.9964979285496356,0.9964114340573412,0.9930601397832178,0.9928881044069364
0.008401591597749227,0.008845118509825143,0.9967761475913747,0.9966099335939007,0.9936051391851966,0.9932784590853438
0.007789841963417112,0.008153027505066971,0.9970022973146043,0.9968608920457283,0.9940495421443818,0.9937717797024422
0.007292003625083157,0.008528414854611682,0.9971888895690709,0.9967089802185293,0.9944168745426961,0.993475643631734
