,BG dice,BG jaccard,TC dice,TC jaccard,ED dice,ED jaccard,ET dice,ET jaccard
901,0.9993714315646204,0.9987436528293986,6.666666666666667e-11,6.666666666222223e-11,0.8611599297029877,0.7561728395069254,1.0,1.0
902,0.9999913193691005,0.9999826388888889,1.0,1.0,1e-09,9.99999999e-10,1.0,1.0
903,0.9975632581710399,0.9951383628965493,0.589403973513245,0.41784037558958764,0.5582191780839041,0.38717339667603995,0.9025367156221629,0.8223844282242765
904,0.9991595020049467,0.9983204156971149,1.0,1.0,0.9276595744691489,0.8650793650796328,1.0,1.0
905,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
906,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
907,0.9997916232548535,0.9995833333333334,1.0,1.0,4.166666666666667e-11,4.1666666664930555e-11,1.0,1.0
908,0.9994702055776149,0.9989409722222222,1.0,1.0,1.6393442622950822e-11,1.6393442622682076e-11,1.0,1.0
909,0.9981221576497691,0.9962513546644874,0.23076923080769232,0.13043478264650285,0.9232758620693966,0.8574859887911469,0.8571428571458967,0.7500000000013298
910,0.9960380138890204,0.99210729855154,1.5873015873015874e-11,1.5873015872763923e-11,0.7931801334329133,0.6572481572485783,4.761904761904762e-11,4.761904761678005e-11
911,0.9974841173595993,0.9949808622806385,0.9208275862071724,0.8532719836401568,0.7479224376745153,0.5973451327442536,0.8055555555694444,0.6744186046587345
912,0.9980898147480809,0.9961869131983165,0.8840336134470588,0.7921686746994212,0.9290976058936464,0.8675838349098302,0.8421052631587868,0.7272727272731475
913,0.9993437738325471,0.9986884083658277,1.0,1.0,0.9523407844795445,0.9090177133656127,1.25e-10,1.24999999984375e-10
914,0.9996266998489113,0.9992536782998082,1.0,1.0,0.970048309179227,0.9418386491557769,0.95698924731362,0.9175257731961597
915,0.999843725582131,0.9996875,1.0,1.0,5.555555555555556e-11,5.555555555246914e-11,1.0,1.0
916,0.9971476950659743,0.994311615140133,1.0,1.0,0.8797953964198026,0.7853881278540212,0.6315789473690124,0.4615384615389269
917,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
918,0.9994513772173591,0.9989033560785406,1.0,1.0,0.8941176470617647,0.8085106382988909,1.0,1.0
919,0.9981524795908243,0.996311773255814,1.0,1.0,0.9162276080086934,0.8454059309675035,0.5662650602419679,0.3949579831941247
920,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
